구분 ,노선 ,버스 종류,노선 수,노선현황
김포,시내,시내버스,9,"고촌, 개화역, 종로, 광화문, 서대문, 대방, 노량진, 개봉, 화곡, 영등포, 등촌, 당산, 신촌 등"
김포,시외,시외버스,31,"사당, 과천, 순천, 강릉, 남양주, 서산, 대전, 동서울, 동탄, 동수원, 성남, 북청주, 세종, 속초, 안산, 용인 등"
김포,시외,리무진버스,12,"강남, 잠실, 광명역, 개봉, 영등포, 당산, 롯데월드, 목동, 신림, 성북, 마포, 서울역, 명동, 인천공항 등"
김포,좌석버스,좌석버스,11,"(인천행) 작전역, 계양구청, 검암, 부천역, 소사역, 송내역, 역곡역 등, (경기행) 강화터미널, 금촌, 파주, 백석, 화정역 등"
김포,지하철,지하철,4,"5호선, 9호선, 공항철도, 김포도시철도"
김해,시내,시내버스,1,"강서구청, 구포, 동래, 해운대 등"
김해,시내,마을버스,2,"구포, 강서구청, 신평, 하단 등"
김해,시외,시외버스,12,"창원/마산, 장유, 진해, 통영, 포항/경주, 동대구, 대전, 울산 등"
김해,시외,리무진버스,2,"(해운대 방면) 광안역, 벡스코, 장산역 등, (부산역 방면) 서면1번가, 남포동 등"
김해,지하철,지하철,1,부산-김해 경전철
제주,시내,지선,3,"용담로터리, 인제, 제주항여객터미널, 원노형, 한라수목원, 도립미술관 등"
제주,시내,순환버스,4,"서중, 외도초, 탐라도서관, 월성마을, 한라병원, 중앙여중, 제주고 등"
제주,시내,시티투어,1,"시청, 사라봉, 동문시장, 용두암, 이호테우, 한라수목원 등"
제주,시외,급행버스,12,"동광양, 서귀포, 제주버스터미널, 성산일출봉, 제주시청, 제주대 등"
제주,시외,간선,10,"중앙로, 동문시장, 동문로터리, 중앙병원, 한라수목원, 제주시청 등"
제주,시외,리무진버스,3,"월드컵경기장, 서귀포칼호텔, 서귀포시청, 제주도청, 서귀포버스터미널 등"
대구,시내,시내버스,7,"이시아폴리스, 파계사, 동대구역 지하도, 수성못, 계명대, 경북대 등"
대구,시내,시티투어,1,"동성로, 이월드, 앞산전망대 등"
대구,시외,시외버스,4,"군위, 의성, 동대구, 예천, 경주, 포항 등"
대구,시외,좌석버스,1,구미
대구,지하철,지하철,1,대구 1호선 아양교역
울산,시내,시내버스,29,"농소, 달천, 매곡, 모화, MBC방송국, KBS방송국, 남구청, 성남동, 울산시청, 울산대, 꽃바위, 덕계시장, 일산해수욕장 등"
울산,시외,시외버스,10,"강릉, 경주, 삼척, 안동, 영천, 울진, 청주, 포항 등"
울산,시외,리무진버스,1,"농소, 혁신도시, 천상, KTX울산역 등"
울산,시외,좌석버스,1,"농소, 모화, 시청, 태화강역, 삼산동 등"
청주,시내,시내버스,4,"상당공원, 오송역, 세종터미널, 세종청사, 신탄진 등"
청주,시외,시외버스,10,"강남, 대전, 서울남부터미널, 인천버스터미널, 천안터미널, 신탄진, 가경터미널 등"
청주,철도,철도,1,"충북선 대전, 오송방면 / 충주, 제천방면 "
무안,군내,군내버스,1,무안버스터미널
무안,군외,군외버스,2,"광주종합버스터미널, 목포버스터미널"
무안,좌석버스,좌석버스,1,"목포역, 목포터미널, 목포대 등"
광주,시내,시내버스,2,"도산동, 광주송정역, 삼도동 주민센터, 명화동, 옥동 등"
광주,시외,광역버스,1,"광주송정역, 한국전력공사, 나주역 등"
광주,지하철,지하철,1,광주 1호선 공항역
여수,시내,시내버스,7,"상봉, 율춘, 미평, 애양원, 신풍 등"
여수,시외,시외버스,3,"애양원, 제일고, 신풍, 순천경찰서, 순천역 등"
양양,시내,셔틀버스,2,"양양터미널, 양양공항"
포항,시내,시내버스,1,"양덕, 시외버스터미널, 포스코, 구룡포 등"
사천,시내,시내버스,12,"원계, 오사, 상탑, 부두, 삼천포, 검정, 가화, 흥사 등"
사천,시외,시외버스,3,"진주터미널, 삼천포터미널, 혁신도시"
군산,시내,시내버스,4,군산역 등
군산,시외,시외버스,1,"익산터미널, 전주터미널 등"
원주,시내,시내버스,2,"횡성, 원주 등"
원주,시외,시외버스,2,"춘천병원, 횡성읍, 홍천터미널 등"
