구분,구분(단위),수량,출자액(백만원),비고
김 포,토지(㎡),"2,219,507","866,097","안양, 양주, 강원 무선표지소 포함"
김 포,건물(㎡),"419,616","248,257","안양, 양주, 강원 무선표지소 포함"
김 포,공작물(건수),115,"68,067","안양, 양주, 강원 무선표지소 포함"
김 포,입목(그루),"182,052","3,037","안양, 양주, 강원 무선표지소 포함"
김 포,공항시설관리권,-,"55,171","안양, 양주, 강원 무선표지소 포함"
김 해,토지(㎡),"304,430","43,461","부산, 대구, 포항, 예천 무선표지소 포함"
김 해,건물(㎡),"72,368","68,124","부산, 대구, 포항, 예천 무선표지소 포함"
김 해,공작물(건수),342,"13,377","부산, 대구, 포항, 예천 무선표지소 포함"
김 해,입목(그루),"41,567",641,"부산, 대구, 포항, 예천 무선표지소 포함"
김 해,공항시설관리권,-,"224,806","부산, 대구, 포항, 예천 무선표지소 포함"
제 주,토지(㎡),"158,412","13,620",제주 무선표지소 포함
제 주,건물(㎡),"64,511","57,567",제주 무선표지소 포함
제 주,공작물(건수),195,"7,598",제주 무선표지소 포함
제 주,입목(그루),"68,697",993,제주 무선표지소 포함
제 주,공항시설관리권,-,"242,541",제주 무선표지소 포함
청 주,토지(㎡),"330,169","17,334",-
청 주,건물(㎡),"34,260","32,741",-
청 주,공작물(건수),706,"9,842",-
청 주,입목(그루),"32,285",981,-
청 주,공항시설관리권,-,606,-
대 구,토지(㎡),"85,545","19,718",-
대 구,건물(㎡),"36,526","40,606",-
대 구,공작물(건수),555,"10,948",-
대 구,입목(그루),820,243,-
대 구,공항시설관리권,-,513,-
양 양,토지(㎡),"161,343","7,502",-
양 양,건물(㎡),"30,616","56,977",-
양 양,공작물(건수),51,"25,268",-
양 양,입목(그루),"103,474","1,025",-
양 양,공항시설관리권,-,-,
광 주,토지(㎡),"61,866","6,125",목포 포함
광 주,건물(㎡),"12,072","10,513",목포 포함
광 주,공작물(건수),164,"1,903",목포 포함
광 주,입목(그루),"6,531",182,목포 포함
광 주,공항시설관리권,-,347,목포 포함
울 산,토지(㎡),"51,756","2,717",-
울 산,건물(㎡),"11,952","8,992",-
울 산,공작물(건수),170,"4,421",-
울 산,입목(그루),"7,936",97,-
울 산,공항시설관리권,-,"1,055",-
여 수,토지(㎡),"15,163",296,-
여 수,건물(㎡),"1,958",927,-
여 수,공작물(건수),26,92,-
여 수,입목(그루),367,5,-
여 수,공항시설관리권,-,177,-
포 항,토지(㎡),"69,920","3,922",-
포 항,건물(㎡),"14,168","23,869",-
포 항,공작물(건수),163,"7,078",-
포 항,입목(그루),"16,167",531,-
포 항,공항시설관리권,-,101,-
사 천,토지(㎡),"16,333","1,348",-
사 천,건물(㎡),"1,137",629,-
사 천,공작물(건수),53,413,-
사 천,입목(그루),"4,270",44,-
사 천,공항시설관리권,-,81,-
군 산,토지(㎡),"29,210","1,821",-
군 산,건물(㎡),"3,109","2,170",-
군 산,공작물(건수),57,816,-
군 산,입목(그루),"4,416",108,-
군 산,공항시설관리권,-,95,-
원 주,토지(㎡),"9,612",990,-
원 주,건물(㎡),"1,618","1,334",-
원 주,공작물(건수),17,976,-
원 주,입목(그루),"1,944",39,-
원 주,공항시설관리권,-,21,-
